id,text
1,"This phone isğŸ”¥ğŸ”¥ totally worth the money!"
2,"Worst update ever... my phone is dead now ğŸ’€"
3,"Meh, the product is okay I guess."
4,"Customer service was trash ğŸ˜¡"
5,"Love this brand, always delivers â¤ï¸"
6,"Not bad, but could have been better."
7,"Absolutely horrible experience, never buying again."
8,"Pretty decent for the price tbh."
9,"I'm so disappointed, this is not what I expected."
10,"Works fine, nothing special."
11,"Best purchase I've made this year ğŸ”¥"
12,"Waste of money, donâ€™t fall for the hype."
13,"Average product, nothing impressive."
14,"Support team actually helped me, surprised!"
15,"Battery life sucks big time ğŸ˜¤"
16,"Honestly loving it so far!"
17,"Product arrived late but works fine."
18,"Terrible packaging, item damaged."
19,"This is so good omg ğŸ˜"
20,"I regret buying this."
21,"Solid build quality, feels premium."
22,"Worst customer service experience ever."
23,"Does what it says, no complaints."
24,"Kinda overpriced for what it offers."
25,"Super smooth performance ğŸ”¥"
26,"Not satisfied at all."
27,"Okayish product, expected more."
28,"Very happy with this purchase!"
29,"Stopped working after a week ğŸ’€"
30,"The design looks really cool."
31,"Pathetic quality, very cheap materials."
32,"Nothing wow, just fine."
33,"Exceeded my expectations honestly."
34,"Totally useless, avoid this."
35,"Decent experience overall."
36,"Amazing product, highly recommend!"
37,"This update ruined everything ğŸ˜¡"
38,"I like it but there are some bugs."
39,"Really impressed with the performance."
40,"Worst decision ever buying this."
41,"The app crashes all the time."
42,"Satisfied with what I got."
43,"Build quality is top notch."
44,"Disappointed, not worth the price."
45,"Itâ€™s okay, does the job."
46,"Absolutely love the UI â¤ï¸"
47,"So many issues, very frustrating."
48,"Good product for daily use."
49,"Horrible lag after latest update."
50,"Works as expected."
51,"Great value for money!"
52,"Not impressed at all."
53,"Customer support was polite."
54,"The sound quality is trash."
55,"Pretty smooth and responsive."
56,"Regret this purchase honestly."
57,"Very average experience."
58,"Loved the packaging and delivery."
59,"Keeps overheating, annoying."
60,"Totally satisfied ğŸ˜„"
61,"Feels cheap in hand."
62,"Decent features for the price."
63,"Not happy with this."
64,"Really good camera quality!"
65,"Worst thing Iâ€™ve bought online."
66,"Works fine for now."
67,"Could be better, could be worse."
68,"Highly disappointed."
69,"Really enjoying using this."
70,"Performance is terrible."
71,"No major issues so far."
72,"Battery drains too fast."
73,"Good but not great."
74,"Absolutely fantastic ğŸ”¥"
75,"Facing bugs every day."
76,"Happy with my purchase."
77,"This product is a joke."
78,"Quality is acceptable."
79,"Would not recommend."
80,"Very smooth experience."
81,"Customer service ignored my complaint."
82,"The update fixed everything!"
83,"Feels outdated."
84,"Surprisingly good performance."
85,"Hate this product."
86,"Itâ€™s alright I guess."
87,"Best in this price range."
88,"Too many problems."
89,"Satisfied overall."
90,"Very poor experience."
91,"Loving the new features!"
92,"Not worth the money."
93,"Okay for casual use."
94,"Extremely bad support."
95,"Pretty happy so far."
96,"This is embarrassing quality."
97,"Smooth and fast."
98,"Terrible decision."
99,"Decent enough."
100,"Absolutely loving it â¤ï¸"
